step      t          T         xB         xC         yC         xG         yG       F_xB       F_xC       F_yC      E_pot      E_cin      E_tot
 108 0.0540 36.26836642 1.29384634 0.62469653 1.14630404 0.63951429 0.38210135 27.01570837 6.15418211 19.53672852 0.78734887 0.10810897 0.89545784
 109 0.0545 28.21111946 1.29349467 0.62547944 1.14534534 0.63965804 0.38178178 27.64837534 5.88037904 20.50141443 0.81144210 0.08409188 0.89553398
 110 0.0550 23.33792858 1.29338355 0.62631351 1.14456501 0.63989902 0.38152167 28.06104007 5.62975045 21.24102879 0.82602365 0.06956584 0.89558949
 111 0.0555 21.94510405 1.29351658 0.62719657 1.14396949 0.64023771 0.38132316 28.24924515 5.40297968 21.74889982 0.83020796 0.06541410 0.89562206
 112 0.0560 24.20650701 1.29389538 0.62812663 1.14356318 0.64067400 0.38118773 28.21051480 5.20045108 22.02071163 0.82347538 0.07215490 0.89563028
 113 0.0565 30.16592534 1.29451962 0.62910193 1.14334847 0.64120719 0.38111616 27.94437427 5.02225869 22.05453905 0.80569486 0.08991878 0.89561364
 114 0.0570 39.73436145 1.29538699 0.63012093 1.14332563 0.64183598 0.38110854 27.45235329 4.86821381 21.85085895 0.77713214 0.11844043 0.89557257
 115 0.0575 52.69233648 1.29649321 0.63118229 1.14349291 0.64255850 0.38116430 26.73797356 4.73785104 21.41253844 0.73844279 0.15706564 0.89550843
 116 0.0580 68.69712573 1.29783205 0.63228487 1.14384648 0.64337231 0.38128216 25.80672050 4.63043283 20.74480002 0.69065063 0.20477281 0.89542344
 117 0.0585 87.29465426 1.29939543 0.63342773 1.14438055 0.64427439 0.38146018 24.66599928 4.54495270 19.85516406 0.63511218 0.26020844 0.89532062
 118 0.0590 107.93560597 1.30117340 0.63461014 1.14508735 0.64526118 0.38169578 23.32507525 4.48013756 18.75336946 0.57346855 0.32173512 0.89520367
 119 0.0595 129.99514081 1.30315431 0.63583153 1.14595732 0.64632861 0.38198577 21.79499891 4.43444964 17.45127302 0.50758649 0.38749032 0.89507680
 120 0.0600 152.79547805 1.30532485 0.63709149 1.14697912 0.64747211 0.38232637 20.08851569 4.40608874 15.96272852 0.43949093 0.45545370 0.89494463
 121 0.0605 175.63049502 1.30767016 0.63838980 1.14813981 0.64868665 0.38271327 18.21996078 4.39299550 14.30344676 0.37129150 0.52352046 0.89481196
 122 0.0610 197.79141335 1.31017400 0.63972632 1.14942494 0.64996677 0.38314165 16.20513935 4.39285678 12.49083768 0.30510576 0.58957786 0.89468362
 123 0.0615 218.59260230 1.31281882 0.64110106 1.15081874 0.65130663 0.38360625 14.06119277 4.40311363 10.54383606 0.24298211 0.65158217 0.89456428
 124 0.0620 237.39652247 1.31558598 0.64251411 1.15230428 0.65270003 0.38410143 11.80645149 4.42097300 8.48271240 0.18682526 0.70763301 0.89445828
 125 0.0625 253.63686419 1.31845587 0.64396562 1.15386362 0.65414050 0.38462121 9.46027525 4.44342354 6.32887069 0.13832711 0.75604232 0.89436943
 126 0.0630 266.83900139 1.32140806 0.64545580 1.15547802 0.65562128 0.38515934 7.04288194 4.46725642 4.10463500 0.09890559 0.79539534 0.89430092
 127 0.0635 276.63698256 1.32442152 0.64698484 1.15712814 0.65713545 0.38570938 4.57516608 4.48909123 1.83302681 0.06965395 0.82460122 0.89425517
 128 0.0640 282.78641124 1.32747479 0.64855294 1.15879420 0.65867591 0.38626473 2.07850850 4.50540733 -0.46246464 0.05130224 0.84293147 0.89423372
 129 0.0645 285.17272475 1.33054615 0.65016023 1.16045624 0.66023546 0.38681875 -0.42542122 4.51258066 -2.75811696 0.04419258 0.85004461 0.89423719
 130 0.0650 283.81455624 1.33361380 0.65180679 1.16209428 0.66180686 0.38736476 -2.91486768 4.50692564 -5.03021171 0.04826911 0.84599617 0.89426529
 131 0.0655 278.86205388 1.33665609 0.65349256 1.16368856 0.66338288 0.38789619 -5.36819597 4.48474177 -7.25527165 0.06308303 0.83123373 0.89431675
 132 0.0660 270.59022650 1.33965168 0.65521735 1.16521972 0.66495634 0.38840657 -7.76409930 4.44236428 -9.41029586 0.08781244 0.80657701 0.89438945
 133 0.0665 259.38757743 1.34257972 0.65698078 1.16666900 0.66652017 0.38888967 -10.08180553 4.37621793 -11.47299022 0.12129639 0.77318409 0.89448047
 134 0.0670 245.74047224 1.34542004 0.65878230 1.16801846 0.66806745 0.38933949 -12.30128042 4.28287287 -13.42199087 0.16208148 0.73250471 0.89458619
 135 0.0675 230.21385243 1.34815334 0.66062107 1.16925115 0.66959147 0.38975038 -14.40342515 4.15910153 -15.23707843 0.20847959 0.68622287 0.89470246
 136 0.0680 213.42905017 1.35076132 0.66249603 1.17035127 0.67108578 0.39011709 -16.37026565 4.00193514 -16.89938064 0.25863411 0.63619063 0.89482474
 137 0.0685 196.03957231 1.35322688 0.66440581 1.17130436 0.67254423 0.39043479 -18.18513152 3.80871862 -18.39156124 0.31059233 0.58435596 0.89494829
 138 0.0690 178.70580111 1.35553421 0.66634873 1.17209744 0.67396098 0.39069915 -19.83282220 3.57716256 -19.69799331 0.36238102 0.53268735 0.89506837
 139 0.0695 162.06960033 1.35766900 0.66832277 1.17271913 0.67533059 0.39090638 -21.29975824 3.30539084 -20.80491493 0.41208232 0.48309806 0.89518038
 140 0.0700 146.72981716 1.35961847 0.67032556 1.17315982 0.67664801 0.39105327 -22.57411574 2.99198281 -21.70056579 0.45790695 0.43737314 0.89528009
 141 0.0705 133.21963307 1.36137153 0.67235439 1.17341170 0.67790864 0.39113723 -23.64594216 2.63600880 -22.37530316 0.49826187 0.39710190 0.89536377
 142 0.0710 121.98664033 1.36291887 0.67440615 1.17346891 0.67910834 0.39115630 -24.50725196 2.23705806 -22.82169607 0.53180982 0.36361853 0.89542835
 143 0.0715 113.37641069 1.36425299 0.67647738 1.17332756 0.68024346 0.39110919 -25.15210087 1.79525823 -23.03459674 0.55751843 0.33795310 0.89547153
 144 0.0720 107.62018092 1.36536827 0.67856423 1.17298581 0.68131083 0.39099527 -25.57663774 1.31128586 -23.01118858 0.57469696 0.32079490 0.89549186
 145 0.0725 104.82711454 1.36626103 0.68066248 1.17244384 0.68230784 0.39081461 -25.77913333 0.78636745 -22.75101036 0.58301951 0.31246931 0.89548882
 146 0.0730 104.98141538 1.36692950 0.68276757 1.17170394 0.68323236 0.39056798 -25.75998577 0.22227100 -22.25595631 0.58253354 0.31292925 0.89546279
 147 0.0735 107.94437502 1.36737385 0.68487460 1.17077040 0.68408282 0.39025680 -25.52170263 -0.37871187 -21.53025246 0.57365380 0.32176126 0.89541506
 148 0.0740 113.46124090 1.36759615 0.68697834 1.16964954 0.68485816 0.38988318 -25.06885991 -1.01379302 -20.58040941 0.55714182 0.33820596 0.89534778
 149 0.0745 121.17260203 1.36760035 0.68907325 1.16834963 0.68555787 0.38944988 -24.40803871 -1.67972333 -19.41515236 0.53407181 0.36119204 0.89526385
 150 0.0750 130.62981333 1.36739218 0.69115355 1.16688079 0.68618191 0.38896026 -23.54774054 -2.37283610 -18.04532925 0.50578463 0.38938215 0.89516678
 151 0.0755 141.31382458 1.36697914 0.69321321 1.16525495 0.68673078 0.38841832 -22.49828238 -3.08909720 -16.48379824 0.47383150 0.42122912 0.89506061
 152 0.0760 152.65665142 1.36637036 0.69524599 1.16348570 0.68720545 0.38782857 -21.27167343 -3.82416087 -14.74529576 0.43990981 0.45503989 0.89494969
 153 0.0765 164.06462933 1.36557651 0.69724549 1.16158816 0.68760733 0.38719605 -19.88147490 -4.57342989 -12.84628692 0.40579369 0.48904486 0.89483854
 154 0.0770 174.94252965 1.36460968 0.69920521 1.15957886 0.68793830 0.38652629 -18.34264528 -5.33211870 -10.80479986 0.37326188 0.52146977 0.89473165
 155 0.0775 184.71759280 1.36348326 0.70111854 1.15747554 0.68820060 0.38582518 -16.67137300 -6.09531802 -8.64024598 0.34402599 0.55060734 0.89463333
 156 0.0780 192.86254647 1.36221180 0.70297883 1.15529706 0.68839687 0.38509902 -14.88489897 -6.85805952 -6.37322817 0.31966165 0.57488586 0.89454752
 157 0.0785 198.91672632 1.36081083 0.70477946 1.15306312 0.68853009 0.38435437 -13.00133142 -7.61537899 -4.02533897 0.30154546 0.59293220 0.89447766
 158 0.0790 202.50449975 1.35929674 0.70651383 1.15079416 0.68860352 0.38359805 -11.03945535 -8.36237675 -1.61895091 0.29079990 0.60362666 0.89442656
 159 0.0795 203.35030594 1.35768661 0.70817544 1.14851112 0.68862068 0.38283704 -9.01853933 -9.09427385 0.82299875 0.28824845 0.60614784 0.89439629
 160 0.0800 201.28976325 1.35599802 0.70975793 1.14623524 0.68858532 0.38207841 -6.95814182 -9.80646309 3.27722684 0.29438233 0.60000576 0.89438809
 161 0.0805 196.27645117 1.35424888 0.71125510 1.14398787 0.68850133 0.38132929 -4.87791937 -10.49455365 5.72032436 0.30934034 0.58506205 0.89440239
 162 0.0810 188.38414255 1.35245731 0.71266097 1.14179026 0.68837276 0.38059675 -2.79743899 -11.15440880 8.12897583 0.33290210 0.56153661 0.89443872
 163 0.0815 177.80443629 1.35064140 0.71396979 1.13966339 0.68820373 0.37988780 -0.73599655 -11.78217605 10.48017597 0.36449522 0.53000056 0.89449578
 164 0.0820 164.83991362 1.34881908 0.71517609 1.13762769 0.68799839 0.37920923 1.28755697 -12.37430939 12.75144156 0.40321569 0.49135583 0.89457151
 165 0.0825 149.89310630 1.34700797 0.71627474 1.13570294 0.68776090 0.37856765 3.25497987 -12.92758378 14.92101704 0.44786085 0.44680229 0.89466314
 166 0.0830 133.45171710 1.34522517 0.71726091 1.13390801 0.68749536 0.37796934 5.14879337 -13.43910192 16.96807189 0.49697360 0.39779370 0.89476730
 167 0.0835 116.07066584 1.34348717 0.71813016 1.13226070 0.68720578 0.37742023 6.95242364 -13.90629394 18.87288843 0.54889600 0.34598415 0.89488016
